titulo,fuente,fecha_publicacion,url,es_paro_docente,hay_suspension_clases,ubicacion_bogota,ubicacion_Colombia,duracion_dias,organizaciones_sindicales,razones_paro,costo_mencionado,justificacion_paro,resumen,fecha_paro,tipo_movilizacion,ubicacion,descripcion,periodo_busqueda,fecha_extraccion,fuente_oficial
"12, 13 y 14 de agosto: Paro Nacional de 72 horas en las Universidades Nacionales",CTA Autónoma,2025-11-14,https://ctaa.org.ar/12-13-y-14-de-agosto-paro-nacional-de-72-horas-en-las-universidades-nacionales/&ved=2ahUKEwjRwbKK9dmQAxVt48kDHcQNJVgQxfQBegQIBRAC&usg=AOvVaw3oq5yWY1qGf7B4TL5_4Lf4,True,True,False,True,3.0,"['Frente Sindical de Universidades Nacionales', 'CONADU Histórica']",Demandas relacionadas con condiciones laborales y académicas en las universidades.,,"Se trata de un paro docente verdadero ya que se menciona el no inicio del segundo cuatrimestre, lo que implica suspensión de clases.",Paro Nacional de 72 horas en las Universidades Nacionales del 12 al 14 de agosto.,2023-08-12,paro docente,"Colombia, Universidades Nacionales","Junto al Frente Sindical de Universidades Nacionales, CONADU Histórica definió el no inicio del segundo cuatrimestre. Facebook. Twitter. WhatsApp. Telegram.",paro docente Colombia 2013,2025-11-05 02:00:54,CONADU Histórica
Centrales obreras respaldaron el paro de Fecode y se sumarán a las manifestaciones,Infobae,2025-11-16,https://www.infobae.com/colombia/2024/06/11/centrales-obreras-respaldan-el-paro-de-fecode-y-se-sumaran-a-las-manifestaciones/&ved=2ahUKEwjRwbKK9dmQAxVt48kDHcQNJVgQxfQBegQIAxAC&usg=AOvVaw0qhdApY-wA-_-UiHuXlsCs,True,True,True,True,,"['FECODE', 'CUT']",Oposición a un proyecto de ley de educación que consideran perjudicial para el derecho a la educación y que promueve la privatización.,,"Se trata de un paro docente verdadero ya que se anunció un paro indefinido por parte de Fecode, lo que implica la suspensión de clases programadas.",Fecode anuncia un paro indefinido a partir del 12 de junio en oposición a un proyecto de ley de educación.,2024-06-12,paro docente,"Colombia, Bogotá","Luego de que la Federación Colombiana de Educadores (Fecode) anunciara que entrará a paro indefinido en contra del proyecto de ley de educación,...",paro docente Colombia 2013,2025-11-05 02:00:54,Infobae
Los alumnos pierden 3 meses de clases por paros docentes durante la primaria,El Correo Gráfico,1980-11-05,https://elcorreografico.com.ar/los-alumnos-pierden-3-meses-de-clases-por-paros-docentes-durante-la-primaria/&ved=2ahUKEwjRwbKK9dmQAxVt48kDHcQNJVgQxfQBegQICRAC&usg=AOvVaw02-TiJi1QWsv7lAtI79Bqc,True,True,False,True,12.0,[],Demandas relacionadas con la calidad educativa y condiciones laborales.,,"Se menciona que hubo un promedio de 12 días de paro docente por año a nivel nacional, lo que indica que hubo suspensión de clases.",Los alumnos han perdido 3 meses de clases debido a paros docentes a nivel nacional.,2023-10-01,paro docente,Colombia,"Desde el retorno de la democracia, hubo un promedio de 12 días de paro docente por año a nivel nacional. Al tomar el promedio anual, las provincias con más...",paro docente Colombia 2013,2025-11-05 02:00:54,No especificado
Sindicato de profesores de Bogotá anunció paro distrital por 24 horas: esta es la razón,El País,2025-11-06,https://www.elpais.com.co/colombia/sindicato-de-profesores-de-bogota-anuncio-paro-distrital-por-24-horas-esta-es-la-razon-0702.html&ved=2ahUKEwjLiemM9dmQAxUI6RoGHcaLDQ0QxfQBegQIBxAC&usg=AOvVaw0QUL10bVdb8TP5tb5--_Bl,True,True,True,False,1.0,['ADE'],Exigencia del cumplimiento de acuerdos previos.,,Se trata de un paro docente verdadero ya que se convocó a la suspensión de clases programadas por 24 horas.,La ADE convocó un paro distrital de 24 horas en Bogotá por incumplimiento de acuerdos.,2024-04-24,paro docente,"Colombia, Bogotá","La Asociación Distrital de Trabajadores de la Educación (ADE) convocó a paro de 24 horas para el próximo 24 de abril, en exigencia del cumplimiento de los...",paro maestros Bogotá 2013,2025-11-05 02:00:58,ADE
Universidad Nacional: entre la “rosca” y salarios de $68 millones,Revista Raya,2025-11-18,https://revistaraya.com/universidad-nacional-entre-la-rosca-y-salarios-de-68-millones.html&ved=2ahUKEwjLiemM9dmQAxUI6RoGHcaLDQ0QxfQBegQICRAC&usg=AOvVaw0KRi5PCKC6oS1uRWWsWjMi,True,True,True,True,,[],Demandas relacionadas con salarios de docentes.,,"Se menciona un paro indefinido en la Universidad Nacional, lo que implica suspensión de clases.",Se reporta un paro indefinido en la Universidad Nacional debido a denuncias sobre altos salarios de docentes.,2023-10-01,paro docente,"Colombia, Bogotá","Mientras el paro indefinido en la Nacional se agudiza, RAYA conoció documentos y denuncias sobre salarios de docentes de hasta 68 millones de pesos,...",paro maestros Bogotá 2013,2025-11-05 02:00:58,RAYA
"Este martes 10 de septiembre, no hay clases en colegios públicos de Bo",Bogota.gov.co,1977-11-05,https://bogota.gov.co/mi-ciudad/educacion/este-martes-10-de-septiembre-no-hay-clases-en-colegios-publicos-de-bo&ved=2ahUKEwjLiemM9dmQAxUI6RoGHcaLDQ0QxfQBegQIAxAC&usg=AOvVaw2kHbk0dsKL-Z_8RxySkrjr,True,True,True,False,,"['FECODE', 'ADE']","El paro fue convocado por FECODE y apoyado por la ADE, aunque no se especifican las razones en el texto.",,Se trata de un paro docente verdadero ya que hubo suspensión de clases programadas en los colegios públicos de Bogotá.,El 10 de septiembre no hay clases en colegios públicos de Bogotá debido a un paro docente.,2023-09-10,paro docente,"Colombia, Bogotá","Así lo dio a conocer el Secretario de Educación del Distrito, Oscar Sánchez en virtud del paro convocado por FECODE y apoyado por la ADE en la ciudad. ...",paro maestros Bogotá 2013,2025-11-05 02:00:58,Secretaría de Educación del Distrito
Aducesar apoyaría paro nacional de educadores aprobada por Fecode,El Pilón,2025-11-01,https://www.elpilon.com.co/general/aducesar-apoyaria-paro-nacional-de-educadores-aprobada-por-fecode&ved=2ahUKEwitoayO9dmQAxV848kDHQmXIbAQxfQBegQIARAC&usg=AOvVaw1zkvxpkf9tAsMAx2MQX0Gj,True,True,False,True,,"['FECODE', 'Aducesar']",Apoyo a demandas del sector educativo a nivel nacional.,,"Se trata de un paro nacional indefinido del sector educativo, lo que implica la suspensión de clases programadas.",Aducesar apoya el paro nacional indefinido de educadores convocado por Fecode.,2023-10-10,paro docente,"Colombia, Cesar","Directivos de la Asociación de Educadores del Cesar, Aducesar manifestaron su posible apoyo al paro nacional indefinido del sector educativo el 10 de...",FECODE paro 2013,2025-11-05 02:01:01,FECODE
Centrales obreras respaldaron el paro de Fecode y se sumarán a las manifestaciones,Infobae,2025-11-16,https://www.infobae.com/colombia/2024/06/11/centrales-obreras-respaldan-el-paro-de-fecode-y-se-sumaran-a-las-manifestaciones/&ved=2ahUKEwitoayO9dmQAxV848kDHQmXIbAQxfQBegQIChAC&usg=AOvVaw1K1hKJ1ESTb8BHIFLjDMPl,True,True,True,True,,"['FECODE', 'CUT']",Oposición a un proyecto de ley de educación que consideran perjudicial para el derecho a la educación y que promueve la privatización.,,"Se trata de un paro docente verdadero ya que se anunció un paro indefinido por parte de Fecode, lo que implica la suspensión de clases programadas.","Fecode anuncia un paro indefinido en contra de un proyecto de ley de educación, respaldado por la CUT.",2024-06-12,paro docente,"Colombia, nacional","Luego de que la Federación Colombiana de Educadores (Fecode) anunciara que entrará a paro indefinido en contra del proyecto de ley de educación,...",FECODE paro 2013,2025-11-05 02:01:01,Infobae
Profesores de escuelas y colegios públicos de Colombia inician huelga de dos días,Yahoo,1979-11-05,https://es-us.noticias.yahoo.com/profesores-escuelas-y-colegios-p%25C3%25BAblicos-colombia-inician-huelga-170315019.html&ved=2ahUKEwiUv_uP9dmQAxVW5ckDHYmMBUsQxfQBegQIAxAC&usg=AOvVaw1xHjMBi1w3vvx_5QEAAr3A,True,True,True,True,2.0,['Fecode'],"Demandan más recursos para la educación pública, cumplimiento de acuerdos y mejoras en el sistema de salud.",,Se trata de un paro docente verdadero ya que hubo suspensión de clases programadas durante la huelga de 48 horas.,"Profesores de Colombia inician una huelga de 48 horas, dejando a millones de estudiantes sin clases.",2019-03-19,huelga,"Colombia, Bogotá",BOGOTÁ (Reuters) - Los profesores de escuelas y colegios públicos de Colombia iniciaron el martes una huelga de 48 horas para exigir al gobierno más...,huelga de profesores Colombia 2013,2025-11-05 02:01:04,Reuters
"Por pobre asistencia de manifestantes en dos días de paro, recuerdan en redes frase de Juan Manuel Santos: “Ese tal paro no existe”",Infobae,2025-11-05,https://www.infobae.com/colombia/2025/05/29/por-ausencia-de-manifestantes-en-dos-dias-de-paro-recuerdan-a-juan-manuel-santos-ese-tal-paro-no-existe/&ved=2ahUKEwiLpv2S9dmQAxV44ckDHXvVAs4QxfQBegQICBAC&usg=AOvVaw2GBO7Alp5Y3M2sgdEzhw3j,True,True,True,True,2.0,[],Las movilizaciones fueron en apoyo a reformas impulsadas por el Gobierno y en respuesta a la situación social actual.,,Se trata de un paro docente verdadero ya que hubo suspensión de clases programadas debido a las movilizaciones y bloqueos que afectaron el sistema de transporte público y la asistencia a los lugares de estudio.,"El 28 y 29 de mayo de 2025 se llevó a cabo un paro nacional con movilizaciones en varias ciudades, incluyendo Bogotá, afectando el transporte público y la asistencia escolar.",2025-05-28,paro nacional,"Colombia, Bogotá",Usuarios de las redes sociales no dejaron pasar de agache la baja afluencia de personas a paro nacional y manifestaciones en todas las ciudades.,ADE Bogotá paro 2013,2025-11-05 02:01:11,Infobae
